Compound_ID,Simulated_Total_Area,Predicted_Total_Area,Area_Abs_Error,Area_Pct_Error
451,0.029099972918629646,0.13687893748283386,0.10777896456420422,370.37479335661067
452,0.07194775342941284,0.11136789619922638,0.03942014276981354,54.78995644872805
453,0.0073159234598279,0.07569386810064316,0.06837794464081526,934.6454349376666
454,0.014492329210042953,0.13178126513957977,0.11728893592953682,809.31735837368
455,0.029827583581209183,0.09599162638187408,0.0661640428006649,221.82166591043267
456,0.031690292060375214,0.10940950363874435,0.07771921157836914,245.2461196327925
457,0.03414031118154526,0.11084939539432526,0.07670908421278,224.68771243727136
458,0.019512102007865906,0.10810452699661255,0.08859242498874664,454.0383447822916
459,0.03609441593289375,0.1099945455789566,0.07390012964606285,204.7411704443617
460,0.0036583077162504196,0.10522690415382385,0.10156859643757343,2776.3819863047524
461,0.016847185790538788,0.1223989725112915,0.10555178672075272,626.5247385116959
462,0.025541242212057114,0.08367692679166794,0.058135684579610825,227.61494565118306
463,0.038353048264980316,0.10228046029806137,0.06392741203308105,166.68143713482186
464,0.08875694870948792,0.10554333031177521,0.016786381602287292,18.912752011373353
465,0.08725884556770325,0.13007467985153198,0.042815834283828735,49.067614870756415
466,0.0176810622215271,0.11280514299869537,0.09512408077716827,537.9998078472487
467,0.03441549837589264,0.11408434808254242,0.07966884970664978,231.49119863525266
468,0.031082915142178535,0.09840460121631622,0.06732168607413769,216.5874267783342
469,0.013406947255134583,0.10864940285682678,0.0952424556016922,710.3962877545916
470,0.02094171568751335,0.09755933284759521,0.07661761716008186,365.86122313639123
471,0.05121329426765442,0.1310594081878662,0.07984611392021179,155.90895891780477
472,0.08952562510967255,0.104893758893013,0.015368133783340454,17.16618427909759
473,0.042357005178928375,0.11307665705680847,0.0707196518778801,166.9609349838111
474,0.03824745491147041,0.11160781979560852,0.07336036488413811,191.804565961165
475,0.02046027220785618,0.10666164010763168,0.0862013678997755,421.310953363937
476,0.01828085631132126,0.1131405159831047,0.09485965967178345,518.9016206699094
477,0.0757017508149147,0.11505154520273209,0.03934979438781738,51.98003211844436
478,0.019512411206960678,0.11325167119503021,0.09373925998806953,480.40838722499785
479,0.0036630979739129543,0.10435241460800171,0.10068931663408875,2748.747572441572
480,0.018293816596269608,0.10674797743558884,0.08845416083931923,483.5194469882048
481,0.03778480738401413,0.11740491539239883,0.0796201080083847,210.71989913615417
482,0.023151421919465065,0.10887701064348221,0.08572558872401714,370.2821754198237
483,0.013150905258953571,0.10849882662296295,0.09534792136400938,725.0293381825815
484,0.04603026807308197,0.10421106219291687,0.0581807941198349,126.39681791003609
485,0.04047269746661186,0.09957388043403625,0.05910118296742439,146.02728917730326
486,0.061842307448387146,0.09861640632152557,0.03677409887313843,59.46430589419654
487,0.00974219013005495,0.08452118933200836,0.07477899920195341,767.5789345483819
488,0.02434239163994789,0.0996614545583725,0.0753190629184246,309.41521290299085
489,0.010965700261294842,0.0930442065000534,0.08207850623875856,748.5021866635141
490,0.03457849472761154,0.11122576892375946,0.07664727419614792,221.66168539124902
491,0.018647518008947372,0.09335729479789734,0.07470977678894997,400.64193397267684
492,0.05001461133360863,0.11964268982410431,0.06962807849049568,139.21547450616148
493,0.024575363844633102,0.09823058545589447,0.07365522161126137,299.71162208182966
494,0.02674310840666294,0.09539861977100372,0.06865551136434078,256.7222565168809
495,0.014635259285569191,0.09040985256433487,0.07577459327876568,517.7536782930913
496,0.06789883971214294,0.1085425317287445,0.04064369201660156,59.859184912305494
497,0.023042310029268265,0.131869375705719,0.10882706567645073,472.29234194930524
498,0.02012144960463047,0.10332522541284561,0.08320377580821514,413.5078607312058
499,0.008522924967110157,0.07682855427265167,0.06830562930554152,801.4341270060684
500,0.014621690846979618,0.10397489368915558,0.08935320284217596,611.1003424794303
501,0.017068907618522644,0.08419011533260345,0.06712120771408081,393.236692201925
502,0.026828326284885406,0.12563657760620117,0.09880825132131577,368.298231772224
