Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,21,7,0,3,2
Doublet,5,6,2,2,3
Triplet,8,0,2,0,5
Quartet,8,0,0,0,2
Multiplet,11,3,1,2,3
