Fold,Epoch,Train_MSE,Val_MSE,Train_R2,Val_R2,Train_AuxAcc,Val_AuxAcc
1,1,0.4620376229286194,0.3829917907714844,-720.6827780264396,-554.2615295410156,0.27827269000771604,0.40011393229166664
1,2,0.329208105802536,0.2740725874900818,-520.8392073831441,-397.0747368706597,0.49453125,0.5749403211805556
1,3,0.23169280588626862,0.1880933940410614,-365.2893573337131,-271.61464131673176,0.6050178433641975,0.6233940972222223
1,4,0.15629597008228302,0.1245577484369278,-244.68809077415938,-179.43882463243273,0.6267065731095679,0.625048828125
1,5,0.10250867903232574,0.0811474472284317,-159.87821891219528,-116.58353101942274,0.6226375626929013,0.6164008246527778
1,6,0.06526051461696625,0.04885973036289215,-102.69483149257707,-69.86837467617458,0.6141179591049383,0.6051215277777777
1,7,0.041160039603710175,0.03374383971095085,-63.848764275915826,-47.9256010055542,0.5986683786651235,0.5905056423611111
1,8,0.029303237795829773,0.024917282164096832,-45.38634674284193,-35.14726744757758,0.5831675588348766,0.5732367621527777
1,9,0.022065840661525726,0.01893685571849346,-33.65495866846155,-26.429135343763562,0.5652681327160494,0.5595052083333333
1,10,0.016746100038290024,0.014283985830843449,-25.474889289596934,-19.69032245212131,0.5515848042052469,0.5451226128472222
1,11,0.013069596141576767,0.011213945224881172,-19.577505815765004,-15.598579586876763,0.537351707175926,0.5307942708333333
1,12,0.010505525395274162,0.009505181573331356,-15.507127885465268,-12.811238553788927,0.5240674430941358,0.5181857638888889
1,13,0.00898508820682764,0.007806623354554176,-13.079444836392815,-10.295979113048977,0.5151210455246914,0.5106879340277778
1,14,0.007788072340190411,0.007042701356112957,-11.115912576957985,-9.446759499443901,0.5075183256172839,0.5039876302083334
1,15,0.006810510065406561,0.006576611660420895,-9.541956243985965,-8.513372251722547,0.5023262683256173,0.5025607638888889
1,16,0.006231698207557201,0.006121688522398472,-8.693340898148808,-8.032372715738084,0.497827449845679,0.5028103298611111
1,17,0.00556910177692771,0.004865535534918308,-7.608497545159893,-5.94687487549252,0.4951810860339506,0.4977756076388889
