Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,32,5,2,1,4
Doublet,8,7,2,2,4
Triplet,6,5,3,2,1
Quartet,9,3,3,2,1
Multiplet,20,4,3,0,6
