Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,44,20,11,3,4
Doublet,7,8,2,4,12
Triplet,9,3,6,2,7
Quartet,3,4,4,0,9
Multiplet,10,5,1,5,9
