Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,39,17,12,4,11
Doublet,20,6,6,2,15
Triplet,15,8,3,4,9
Quartet,13,5,3,1,8
Multiplet,17,5,6,1,16
