Name,SMILES,MW
"2,2',3,3',4,4',5,5',6-nonachlorobiphenyl",Clc1c(c(Cl)c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,464.217
"2,2',3,3',4,4',5,5',6'-nonachlorodiphenyl ether",O(c1c(c(c(c(c1)Cl)Cl)Cl)Cl)c2c(c(c(c(c2Cl)Cl)Cl)Cl)Cl,480.216
"2,2',3,3',4,5,5',6,6'-nonachlorobiphenyl",Clc1c(c(Cl)c(Cl)c(Cl)c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl,464.217
"2,2',3,3',4,5,5',6'-octachlorodiphenyl ether",O(c1c(c(c(c(c1)Cl)Cl)Cl)Cl)c2c(c(cc(c2Cl)Cl)Cl)Cl,445.771
"2,2',3,3',4',5,6-Heptachlorodiphenyl ether",O(c1c(c(cc(c1Cl)Cl)Cl)Cl)c2c(c(c(cc2)Cl)Cl)Cl,411.326
"2,2',3,4,4',5,5'-Heptachlorodiphenyl ether",O(c1c(c(c(c(c1)Cl)Cl)Cl)Cl)c2c(cc(c(c2)Cl)Cl)Cl,411.326
"2,2',3,4,4',5,5',6-octachlorodiphenyl ether",O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2c(cc(c(c2)Cl)Cl)Cl,445.771
"2,2',3,4',5,5',6-Heptachlorodiphenyl ether",O(c1c(c(cc(c1Cl)Cl)Cl)Cl)c2c(cc(c(c2)Cl)Cl)Cl,411.326
"2,2',5,5'-tetrabromobiphenyl",c1(c(ccc(c1)Br)Br)-c2c(ccc(c2)Br)Br,469.796
"2,3,3',4,4',5,6-Heptachlorodiphenyl ether",O(c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)c2cc(c(cc2)Cl)Cl,411.326
"2,3,4,5-tetraiodo-1H-pyrrole",Ic1[nH]c(c(c1I)I)I,570.675
"2,3,5,6-tetrafluoro-4-methylbenzyl 3-[(1Z)-2-chloro-3,3,3-trifluoro-1-propen-1-yl]-2,2-dimethylcyclopropanecarboxylate",FC(F)(F)C(=CC1C(C1C(=O)OCc2c(c(c(c(c2F)F)C)F)F)(C)C)Cl,418.736
2385-85-5,ClC41C2(C5(C3(C(C1(C(C32Cl)(Cl)Cl)Cl)(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl)Cl,545.546
3-octanoyloxymethylphenytoin,N1C(C(=O)N(C1=O)COC(=O)CCCCCCC)(c2ccccc2)c3ccccc3,408.498
"4-(dimethylamino)-7-chloro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-4,5,6,12a,4a,5a-hexahydronaphthacene-2-carboxamide",Clc1c3c(c(cc1)O)C(=O)C2=C(C4(C(CC2C3(O)C)C(C(=C(C4=O)C(=O)N)O)N(C)C)O)O,478.885
"4a,7a,7b,11-Tetramethyl-2,3,4,4a,5,5a,6,7,7a,7b,8,8a,10,11,12,12a,13a,14,14a,14b-icosahydro-1H-naphtho[2',3':4,5]indeno[2,1-b]pyrano[2,3-e]pyran-2-ol",CC1CC2C(CC3(C(O2)CC4C3(CCC5C4C=C6CC(CCC6(C5)C)O)C)C)OC1,414.63
