Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,41,23,7,3,7
Doublet,10,6,3,7,15
Triplet,9,2,3,5,10
Quartet,7,6,1,2,8
Multiplet,8,8,1,4,15
