fold,train_mse,val_mse,train_r2,val_r2
1,0.0008476977236568928,0.001133544254116714,0.09280922263860703,-0.2192881852388382
2,0.0008393792668357491,0.0010446504456922412,0.09741806238889694,-0.07897438108921051
3,0.0008601529989391565,0.014651951380074024,0.08124388009309769,-15.065118789672852
4,0.0008466467261314392,0.0009742280235514045,0.08938241750001907,-0.004306582733988762
5,0.0008451096946373582,0.0009724987903609872,0.10251639783382416,-0.1248464360833168
6,0.0008479433599859476,0.0010588807053864002,0.08261732757091522,-0.04010874778032303
7,0.0008501289412379265,0.0008834181935526431,0.0964762270450592,-0.013086787424981594
8,0.0008866025018505752,0.0008668499649502337,0.059443842619657516,-0.011347278952598572
9,0.0008624629699625075,0.0009544693166390061,0.07830440998077393,-0.04081226885318756
10,0.0008934530196711421,0.0009752515470609069,0.051339831203222275,-0.1270666867494583
