Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,20,9,6,2,18
Doublet,12,10,3,1,15
Triplet,11,1,5,4,11
Quartet,8,4,2,3,10
Multiplet,5,6,0,1,22
