Compound_ID,Status,Simulated_Center_ppm,Simulated_Multiplicity,Predicted_Center_ppm,Predicted_Multiplicity,Position_Error_ppm
451,Matched,1.2557033333333332,Triplet,1.2489585714285716,Multiplet,0.006744761904761587
451,Matched,3.7341499999999996,Quartet,3.77077,Multiplet,0.03662000000000054
451,Matched,4.721705,Doublet,4.717167142857143,Multiplet,0.004537857142857149
451,Matched,7.023553333333333,Multiplet,7.016635,Doublet,0.006918333333333138
451,Matched,7.237585,Quartet,7.24613,Doublet,0.008544999999999803
451,Matched,8.45463,Singlet,8.446493333333335,Triplet,0.008136666666665349
451,Spurious,,,1.10108,Singlet,
451,Spurious,,,1.17921,Singlet,
451,Spurious,,,1.37208,Singlet,
451,Spurious,,,3.6426,Singlet,
451,Spurious,,,3.6902049999999997,Doublet,
451,Spurious,,,7.30472,Singlet,
451,Spurious,,,8.48637,Singlet,
451,Spurious,,,8.58891,Singlet,
452,Matched,0.815434,Singlet,0.8168986,Multiplet,0.001464600000000038
452,Matched,1.15723,Singlet,1.1377000000000002,Multiplet,0.019529999999999825
452,Matched,1.2353575,Multiplet,1.21094,Singlet,0.024417500000000203
452,Matched,2.28883,Quartet,2.329115,Doublet,0.040284999999999904
452,Matched,3.6364924999999997,Quartet,3.624895,Quartet,0.011597499999999705
452,Matched,7.2668833333333325,Multiplet,7.26078,Multiplet,0.006103333333332905
452,Missed,0.8606,Doublet,,,
452,Missed,1.0026088333333334,Multiplet,,,
452,Missed,1.3655650000000001,Multiplet,,,
452,Missed,1.611201111111111,Multiplet,,,
452,Missed,1.7822370000000003,Multiplet,,,
452,Missed,2.0629975000000003,Multiplet,,,
452,Missed,2.40357625,Multiplet,,,
452,Missed,4.6566,Triplet,,,
452,Missed,5.72024,Singlet,,,
452,Spurious,,,0.927739,Singlet,
452,Spurious,,,1.41602,Singlet,
452,Spurious,,,1.55274,Singlet,
452,Spurious,,,1.65772,Singlet,
452,Spurious,,,1.73585,Singlet,
452,Spurious,,,2.49025,Singlet,
453,Matched,6.79691,Singlet,6.817835714285714,Multiplet,0.020925714285714214
453,Matched,7.30228,Singlet,7.30472,Singlet,0.0024399999999999977
453,Spurious,,,7.23636,Singlet,
454,Matched,0.9692435,Doublet,0.944829,Singlet,0.024414500000000006
454,Missed,1.20118,Singlet,,,
454,Missed,1.4087,Singlet,,,
454,Missed,1.91529,Doublet,,,
454,Missed,3.98928,Singlet,,,
454,Missed,4.91946,Singlet,,,
454,Missed,5.0342,Singlet,,,
454,Spurious,,,1.14258,Singlet,
454,Spurious,,,1.215336,Multiplet,
454,Spurious,,,1.41114,Singlet,
454,Spurious,,,1.88233,Singlet,
454,Spurious,,,2.03858,Singlet,
454,Spurious,,,2.15333,Singlet,
455,Matched,5.423437142857142,Multiplet,5.42239,Doublet,0.001047142857141914
455,Matched,6.0775033333333335,Triplet,6.08646,Singlet,0.00895666666666628
455,Missed,1.1108449999999999,Doublet,,,
455,Missed,1.14991,Singlet,,,
455,Missed,2.286385,Doublet,,,
455,Missed,2.3632925,Quartet,,,
455,Missed,2.7758933333333338,Triplet,,,
455,Spurious,,,1.1618927272727275,Multiplet,
455,Spurious,,,2.19728,Singlet,
455,Spurious,,,2.33888,Doublet,
455,Spurious,,,2.76938,Triplet,
455,Spurious,,,5.36135,Singlet,
456,Matched,3.0520775,Multiplet,3.08351,Singlet,0.03143249999999975
456,Matched,3.2714999999999996,Quartet,3.28371,Singlet,0.012210000000000498
456,Matched,3.50197,Multiplet,3.52297,Singlet,0.020999999999999908
456,Matched,3.596616666666666,Multiplet,3.60353,Singlet,0.006913333333334215
456,Matched,3.6712825000000002,Quartet,3.6426,Singlet,0.028682500000000388
456,Matched,3.931295,Quartet,3.8855174999999997,Quartet,0.04577750000000025
456,Matched,4.107685,Doublet,4.07229,Singlet,0.03539500000000029
456,Matched,4.414085,Doublet,4.38479,Singlet,0.029295000000000293
456,Matched,4.521996,Multiplet,4.50442,Singlet,0.017576000000000036
456,Matched,4.6313725,Quartet,4.591085,Doublet,0.0402875000000007
456,Matched,7.50492,Singlet,7.49027,Singlet,0.014650000000000496
456,Missed,3.18605,Doublet,,,
456,Missed,3.364275,Doublet,,,
456,Missed,3.8843,Singlet,,,
456,Missed,4.917015,Doublet,,,
456,Missed,7.042275,Doublet,,,
456,Missed,7.286415,Doublet,,,
456,Missed,7.9260649999999995,Doublet,,,
456,Spurious,,,3.48635,Singlet,
456,Spurious,,,3.55471,Singlet,
456,Spurious,,,3.75978,Singlet,
456,Spurious,,,4.64846,Singlet,
456,Spurious,,,4.85842,Singlet,
456,Spurious,,,7.03129,Singlet,
457,Matched,1.77003,Triplet,1.77003,Singlet,0.0
457,Matched,2.08009,Singlet,2.08009,Singlet,0.0
457,Matched,2.393078,Multiplet,2.399915,Doublet,0.006836999999999982
457,Matched,2.5431433333333335,Triplet,2.54884,Singlet,0.005696666666666683
457,Matched,2.9589999999999996,Triplet,2.97121,Singlet,0.012210000000000498
457,Matched,3.9192933333333335,Triplet,3.9166475000000003,Quartet,0.0026458333333332362
457,Matched,4.311543333333334,Triplet,4.31399,Singlet,0.002446666666666708
457,Matched,7.036865714285715,Multiplet,7.008089999999999,Doublet,0.02877571428571546
457,Matched,7.135045,Doublet,7.089875,Doublet,0.04516999999999971
457,Matched,7.201575000000001,Quartet,7.163119999999999,Doublet,0.03845500000000168
457,Spurious,,,1.73341,Singlet,
457,Spurious,,,2.0422450000000003,Doublet,
457,Spurious,,,2.11427,Singlet,
457,Spurious,,,2.15333,Singlet,
457,Spurious,,,2.4536249999999997,Doublet,
457,Spurious,,,2.50978,Singlet,
457,Spurious,,,2.91994,Singlet,
458,Matched,3.37648,Singlet,3.366226,Multiplet,0.010253999999999763
458,Matched,3.6102475000000003,Quartet,3.60353,Singlet,0.006717500000000154
458,Matched,4.4128625,Quartet,4.3799,Singlet,0.032962500000000006
458,Matched,4.4905800000000005,Triplet,4.481225,Doublet,0.009355000000000224
458,Matched,7.28275,Doublet,7.25834,Singlet,0.024410000000000487
458,Matched,7.3975,Singlet,7.39262,Singlet,0.0048799999999999955
458,Matched,8.183635,Doublet,8.184855,Doublet,0.0012199999999999989
458,Matched,8.64262,Singlet,8.653605,Doublet,0.0109849999999998
458,Matched,9.95855,Singlet,9.952445,Doublet,0.006104999999999805
458,Missed,3.8311975,Quartet,,,
458,Missed,4.1467475,Quartet,,,
458,Missed,7.5806,Singlet,,,
458,Missed,7.74784,Doublet,,,
458,Spurious,,,3.75978,Singlet,
458,Spurious,,,4.21633,Singlet,
458,Spurious,,,7.30472,Singlet,
458,Spurious,,,7.58305,Singlet,
458,Spurious,,,8.60112,Singlet,
459,Matched,1.01563,Singlet,1.0310921666666666,Multiplet,0.015462166666666555
459,Matched,1.330575,Doublet,1.346686,Multiplet,0.016110999999999986
459,Matched,1.49659,Doublet,1.50299875,Multiplet,0.006408749999999852
459,Matched,1.8951524999999998,Quartet,1.88233,Singlet,0.012822499999999737
459,Matched,2.436536,Multiplet,2.41456,Singlet,0.021975999999999996
459,Matched,6.10599,Singlet,6.10599,Singlet,0.0
459,Missed,2.09962,Singlet,,,
459,Missed,2.1892557142857143,Multiplet,,,
459,Missed,2.2961549999999997,Doublet,,,
459,Missed,2.66115,Singlet,,,
459,Missed,3.3724133333333337,Triplet,,,
459,Missed,4.2859125,Quartet,,,
459,Missed,4.4391075,Quartet,,,
459,Missed,6.268345,Doublet,,,
459,Missed,7.2394175,Quartet,,,
459,Spurious,,,2.049575,Doublet,
459,Spurious,,,2.12729,Triplet,
459,Spurious,,,2.35353,Singlet,
459,Spurious,,,2.49025,Singlet,
459,Spurious,,,4.36526,Singlet,
460,Matched,7.5684,Singlet,7.561886666666666,Triplet,0.006513333333333371
460,Spurious,,,7.631875,Doublet,
461,Matched,0.8870486666666667,Triplet,0.8898969999999999,Doublet,0.0028483333333332306
461,Matched,1.267705,Quartet,1.25733,Singlet,0.010375000000000023
461,Matched,4.318056666666667,Triplet,4.31643,Singlet,0.0016266666666666652
461,Missed,1.4062599999999998,Triplet,,,
461,Missed,1.78712,Triplet,,,
461,Missed,7.4683,Singlet,,,
461,Missed,7.64896,Singlet,,,
461,Spurious,,,1.29883,Singlet,
461,Spurious,,,1.37208,Singlet,
462,Matched,2.8442525,Quartet,2.81251,Singlet,0.03174250000000001
462,Matched,4.582545,Doublet,4.5801,Singlet,0.0024449999999998084
462,Matched,4.7235325,Quartet,4.70217,Singlet,0.021362500000000395
462,Matched,5.795925,Doublet,5.79593,Singlet,4.999999999810711e-06
462,Matched,7.2293449999999995,Multiplet,7.2464,Multiplet,0.01705500000000093
462,Matched,7.6172249999999995,Doublet,7.640826666666666,Triplet,0.023601666666666965
462,Matched,8.37407,Singlet,8.374065,Doublet,4.999999999810711e-06
462,Missed,2.5958375,Quartet,,,
462,Spurious,,,2.66359,Singlet,
462,Spurious,,,4.61916,Singlet,
462,Spurious,,,5.83499,Singlet,
463,Matched,2.67254,Triplet,2.66603,Singlet,0.006510000000000016
463,Matched,3.622455,Quartet,3.60353,Singlet,0.01892499999999986
463,Matched,7.186838571428571,Multiplet,7.15091,Singlet,0.03592857142857131
463,Missed,1.77003,Triplet,,,
463,Missed,2.3861825,Multiplet,,,
463,Missed,3.7939633333333336,Triplet,,,
463,Missed,3.9192933333333335,Triplet,,,
463,Missed,7.03098,Multiplet,,,
463,Spurious,,,2.3885216666666667,Multiplet,
463,Spurious,,,2.4756,Doublet,
463,Spurious,,,3.92092,Singlet,
463,Spurious,,,7.02152,Singlet,
463,Spurious,,,7.10209,Singlet,
464,Matched,1.2679099999999999,Triplet,1.2763740000000001,Multiplet,0.008464000000000249
464,Matched,1.92579,Multiplet,1.9464225,Multiplet,0.020632500000000054
464,Matched,2.4902466666666663,Triplet,2.482925,Doublet,0.007321666666666449
464,Matched,3.2715,Doublet,3.2545976923076925,Multiplet,0.016902307692307605
464,Matched,3.5864433333333334,Triplet,3.58889,Singlet,0.002446666666666708
464,Matched,4.100604000000001,Multiplet,4.10402,Singlet,0.0034159999999996415
464,Matched,7.367386666666667,Triplet,7.34623,Singlet,0.021156666666667157
464,Matched,7.46237,Multiplet,7.43717125,Multiplet,0.02519875000000038
464,Missed,7.89677,Quartet,,,
464,Missed,7.9675650000000005,Doublet,,,
464,Spurious,,,1.37696,Quartet,
464,Spurious,,,2.35353,Singlet,
464,Spurious,,,4.06984,Singlet,
464,Spurious,,,4.158550000000001,Triplet,
464,Spurious,,,4.20412,Singlet,
