Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,33,19,6,4,14
Doublet,26,5,4,2,19
Triplet,24,7,3,1,11
Quartet,23,7,2,4,6
Multiplet,21,5,5,2,16
