Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,93,4,2,0,0
Doublet,56,5,0,0,0
Triplet,39,2,0,0,0
Quartet,27,2,0,0,0
Multiplet,32,4,0,0,0
