Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
497,0.02,20,5,4,0.0024399999999999977,20.0
497,0.05,20,5,5,0.008297999999999917,25.0
498,0.01,14,4,3,0.0008133333333333326,21.428571428571427
498,0.02,14,4,4,0.0036599999999999966,28.571428571428573
498,0.05,14,4,4,0.0036599999999999966,28.571428571428573
499,0.01,4,2,2,0.0012199999999999989,50.0
499,0.02,4,2,2,0.0012199999999999989,50.0
499,0.05,4,2,2,0.0012199999999999989,50.0
500,0.01,7,3,3,0.0008166666666665398,42.857142857142854
500,0.02,7,3,3,0.0008166666666665398,42.857142857142854
500,0.05,7,3,3,0.0008166666666665398,42.857142857142854
501,0.01,9,5,4,0.0,44.44444444444444
501,0.02,9,5,4,0.0,44.44444444444444
501,0.05,9,5,5,0.005370000000000097,55.55555555555556
502,0.01,30,5,5,0.0024407999999999986,16.666666666666668
502,0.02,30,5,5,0.0024407999999999986,16.666666666666668
502,0.05,30,5,5,0.0024407999999999986,16.666666666666668
