Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,28,7,4,1,1
Doublet,13,7,2,0,2
Triplet,9,2,2,3,1
Quartet,8,3,1,2,1
Multiplet,12,3,4,2,7
