Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,41,14,11,10,10
Doublet,9,4,5,6,13
Triplet,13,5,7,0,13
Quartet,4,1,3,1,11
Multiplet,3,3,9,3,15
