Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,24,11,8,5,20
Doublet,18,9,6,4,15
Triplet,13,4,4,7,8
Quartet,13,6,3,2,10
Multiplet,11,7,0,2,9
