Fold,Epoch,Train_MSE,Val_MSE,Train_R2,Val_R2,Train_AuxAcc,Val_AuxAcc
1,1,0.4620373547077179,0.3829919397830963,-720.6825735021521,-554.2613918728299,0.278271484375,0.4001193576388889
1,2,0.32920917868614197,0.2740226984024048,-520.8422891122324,-397.0137691921658,0.494579475308642,0.5751193576388889
1,3,0.23171521723270416,0.18801257014274597,-365.3382673758048,-271.4997139824761,0.6048972800925926,0.6233018663194444
1,4,0.15631814301013947,0.12463409453630447,-244.77528103957943,-179.61016133626302,0.6267951871141976,0.6251030815972223
1,5,0.10255008935928345,0.08100474625825882,-159.99220035223314,-116.41279254489474,0.6226707175925926,0.6168294270833333
1,6,0.06458078324794769,0.04881049692630768,-101.67817449922914,-69.78926675584582,0.6141878858024692,0.6044921875
1,7,0.04120517149567604,0.03375726193189621,-63.880382599065335,-47.92800269656711,0.5987648292824074,0.5904134114583334
1,8,0.029324539005756378,0.02489497885107994,-45.34874596654633,-35.09435676998562,0.583299575617284,0.573681640625
1,9,0.021781913936138153,0.01833571121096611,-33.17581396456118,-25.5345988061693,0.5656575520833333,0.558837890625
1,10,0.016369521617889404,0.013955675065517426,-24.754923804012346,-19.11724893781874,0.5515890239197531,0.5447591145833334
1,11,0.012818319723010063,0.01145958248525858,-19.09317450405639,-15.559119754367405,0.5370068962191358,0.5302408854166667
1,12,0.01054508239030838,0.009318657219409943,-15.46970873232241,-12.374260791142781,0.5240342881944444,0.5172254774305556
1,13,0.008898397907614708,0.008123823441565037,-12.941935853604917,-10.616145775053237,0.5147249951774692,0.5124945746527778
1,14,0.00763360783457756,0.00733022578060627,-10.824587943818834,-9.513880576027764,0.5071952160493827,0.5076605902777778
1,15,0.006931193172931671,0.006515989080071449,-9.753742662771248,-8.330696969562107,0.5024510513117284,0.5059787326388889
1,16,0.006044780369848013,0.005382890813052654,-8.389063342412312,-6.6189655913247005,0.49730601369598765,0.4988986545138889
1,17,0.005532763432711363,0.004853136371821165,-7.432098324799243,-6.04740957154168,0.4939893180941358,0.496240234375
1,18,0.005048017017543316,0.004911580588668585,-6.777619317725852,-6.308914764722188,0.4937475887345679,0.4970974392361111
1,19,0.004715172573924065,0.004808493889868259,-6.248621090841882,-6.223172971937392,0.49250638985339507,0.4987250434027778
1,20,0.004534828010946512,0.0038481310475617647,-5.940435688878283,-4.361447159449259,0.4949122299382716,0.49529079861111114
1,21,0.00410499470308423,0.003959436435252428,-5.292535876344751,-4.930703486336602,0.4938108844521605,0.5000759548611111
1,22,0.0038951700553297997,0.0035384981893002987,-5.0357791479722955,-4.421929269366794,0.4969322675540123,0.49495985243055557
1,23,0.0037297899834811687,0.003589913249015808,-4.755594668270629,-4.398022325833638,0.4994508342978395,0.499755859375
1,24,0.003545147832483053,0.0029633864760398865,-4.394251124652816,-3.374002528190613,0.5040093315972223,0.5068467881944444
1,25,0.003406400326639414,0.002854233840480447,-4.193095487135428,-2.9408401939604016,0.5116892119984567,0.5110405815972222
1,26,0.0032535730861127377,0.002974775154143572,-3.835639006120187,-3.4412914567523534,0.5242555217978395,0.5314670138888888
1,27,0.0032251859083771706,0.0027557823341339827,-3.824812987115648,-2.835979093445672,0.5392234519675926,0.53828125
1,28,0.002983858110383153,0.0023283916525542736,-3.510052619157014,-2.1255715952979193,0.5529447579089506,0.5402289496527778
1,29,0.0027858885005116463,0.0022524327505379915,-3.152952613359616,-2.1800266954633924,0.5719593942901234,0.5602213541666666
