Metric,Value
Overall_Multiplicity_Accuracy_pct,44.41340782122905
Total_Matched_Resonances,358.0
Total_Missed_Resonances_FN,91.0
Total_Spurious_Resonances_FP,34.0
Singlet_Recall_pct,96.22641509433963
Singlet_Precision_pct,41.80327868852459
Doublet_Recall_pct,40.24390243902439
Doublet_Precision_pct,45.205479452054796
Triplet_Recall_pct,31.03448275862069
Triplet_Precision_pct,62.06896551724138
Quartet_Recall_pct,5.454545454545454
Quartet_Precision_pct,60.0
Multiplet_Recall_pct,5.2631578947368425
Multiplet_Precision_pct,42.857142857142854
