Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,102,3,1,0,0
Doublet,46,33,1,0,2
Triplet,24,15,18,0,1
Quartet,40,7,4,3,1
Multiplet,32,15,5,2,3
