Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,96,4,1,0,0
Doublet,28,40,4,4,0
Triplet,18,15,23,1,0
Quartet,22,11,4,4,1
Multiplet,25,8,8,3,0
