Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,21,1,3,5,3
Doublet,10,1,2,4,3
Triplet,7,0,3,1,4
Quartet,5,1,1,1,1
Multiplet,7,3,3,1,2
