Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,87,10,1,1,0
Doublet,53,7,0,0,0
Triplet,35,12,0,0,0
Quartet,30,2,1,0,0
Multiplet,41,4,0,0,0
