Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,12,12,0.0012208333333333377,60.0
451,0.02,20,12,12,0.0012208333333333377,60.0
451,0.05,20,12,12,0.0012208333333333377,60.0
452,0.01,86,7,7,0.002094285714285604,8.13953488372093
452,0.02,86,7,7,0.002094285714285604,8.13953488372093
452,0.05,86,7,7,0.002094285714285604,8.13953488372093
453,0.01,2,2,2,0.0,100.0
453,0.02,2,2,2,0.0,100.0
453,0.05,2,2,2,0.0,100.0
454,0.01,9,5,4,0.0006102499999999789,44.44444444444444
454,0.02,9,5,4,0.0006102499999999789,44.44444444444444
454,0.05,9,5,4,0.0006102499999999789,44.44444444444444
455,0.01,22,10,9,0.0010855555555555124,40.90909090909091
455,0.02,22,10,9,0.0010855555555555124,40.90909090909091
455,0.05,22,10,10,0.003418999999999972,45.45454545454545
456,0.01,58,10,10,0.0012199999999999989,17.24137931034483
456,0.02,58,10,10,0.0012199999999999989,17.24137931034483
456,0.05,58,10,10,0.0012199999999999989,17.24137931034483
457,0.01,34,18,18,0.0012200000000000483,52.94117647058823
457,0.02,34,18,18,0.0012200000000000483,52.94117647058823
457,0.05,34,18,18,0.0012200000000000483,52.94117647058823
458,0.01,30,7,7,0.00034857142857142823,23.333333333333332
458,0.02,30,7,7,0.00034857142857142823,23.333333333333332
458,0.05,30,7,7,0.00034857142857142823,23.333333333333332
459,0.01,43,10,10,0.0012199999999999989,23.25581395348837
459,0.02,43,10,10,0.0012199999999999989,23.25581395348837
459,0.05,43,10,10,0.0012199999999999989,23.25581395348837
460,0.01,1,1,1,0.0,100.0
460,0.02,1,1,1,0.0,100.0
460,0.05,1,1,1,0.0,100.0
461,0.01,18,8,8,0.0006112499999999521,44.44444444444444
461,0.02,18,8,8,0.0006112499999999521,44.44444444444444
461,0.05,18,8,8,0.0006112499999999521,44.44444444444444
462,0.01,27,8,8,0.002134999999999998,29.62962962962963
462,0.02,27,8,8,0.002134999999999998,29.62962962962963
462,0.05,27,8,8,0.002134999999999998,29.62962962962963
463,0.01,39,11,11,0.0015536363636363681,28.205128205128204
463,0.02,39,11,11,0.0015536363636363681,28.205128205128204
463,0.05,39,11,11,0.0015536363636363681,28.205128205128204
464,0.01,37,20,18,0.0017627777777777674,48.648648648648646
464,0.02,37,20,19,0.0025694736842104956,51.351351351351354
464,0.05,37,20,20,0.003783999999999976,54.054054054054056
465,0.01,97,14,13,0.0020658461538461447,13.402061855670103
465,0.02,97,14,14,0.003313357142857132,14.43298969072165
