Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,36,22,9,5,7
Doublet,7,7,4,5,12
Triplet,5,4,7,5,7
Quartet,3,4,2,4,6
Multiplet,11,4,4,1,9
