Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,50,24,4,3,6
Doublet,9,7,6,5,11
Triplet,16,2,5,3,10
Quartet,6,2,4,4,8
Multiplet,5,9,6,3,11
