fold,train_mse,val_mse,train_r2,val_r2
1,0.0009158296743407845,0.0009738802327774465,0.01989561691880226,-0.047546740621328354
2,0.000878824619576335,0.000986867118626833,0.05500251054763794,-0.019292570650577545
3,0.0009064808255061507,0.015505453571677208,0.031759653240442276,-16.000940322875977
4,0.0008956324309110641,0.0010308688506484032,0.036695439368486404,-0.06269606202840805
5,0.0009151854319497943,0.0009916839189827442,0.02809789776802063,-0.14703698456287384
6,0.0008856253698468208,0.0014455522177740932,0.04184949770569801,-0.41992536187171936
7,0.0009019175777211785,0.0009394314256496727,0.04143480584025383,-0.07732168585062027
8,0.000896829180419445,0.0009992392733693123,0.04859486222267151,-0.16580475866794586
9,0.0008849879959598184,0.0009420855203643441,0.05423244461417198,-0.027308287099003792
10,0.0009237806079909205,0.0009088173392228782,0.019138243049383163,-0.05029081925749779
