Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,98,4,2,0,0
Doublet,40,36,3,1,1
Triplet,23,13,20,1,0
Quartet,33,10,4,1,1
Multiplet,32,15,3,3,2
