Fold,Epoch,Train_MSE,Val_MSE,Train_R2,Val_R2
1,1,0.09239546954631805,0.0009150845580734313,-147.36805920100505,0.03525951438479953
1,2,0.0011272161500528455,0.0008292793063446879,-0.26183603089532737,0.1308539284600152
1,3,0.0011018229415640235,0.0011062886333093047,-0.19406112785692567,-0.28595926099353364
1,4,0.0010240385308861732,0.0007362760370597243,-0.1094899242306933,0.24150695933236016
1,5,0.0009257094352506101,0.001065179007127881,0.0164882708478857,-0.018325833479563396
1,6,0.0008436047355644405,0.0006355205550789833,0.15881067514419556,0.3850736551814609
1,7,0.0007681554416194558,0.0008710531401447952,0.25965662282190205,0.13787432776557074
1,8,0.0007593367481604218,0.0008984442101791501,0.2729552892991054,0.13477532863616942
1,9,0.0007157815271057189,0.0007118569919839501,0.3324153458630597,0.3262048972977532
1,10,0.0006476880516856909,0.0007161333342082798,0.39948732764632616,0.33506048917770387
1,11,0.0006783785647712648,0.0005552216316573322,0.3691741868301674,0.4899943722618951
1,12,0.0006121679907664657,0.0007404781645163894,0.443457649666586,0.3233593066533407
1,13,0.0006479413714259863,0.0005598299903795123,0.39015178650985527,0.49018899732165866
1,14,0.0006257362547330558,0.0007370839011855423,0.41941426859961617,0.313329283396403
1,15,0.0005710012628696859,0.0006041195010766387,0.48097897709151843,0.4514168898264567
1,16,0.0005832543829455972,0.0009695085464045405,0.464843808574441,0.11139232185151841
1,17,0.0005710010882467031,0.0006035565165802836,0.48329015293239075,0.4577109773953756
1,18,0.0006122532649897039,0.0006250684382393956,0.4387247306329233,0.44446878830591835
1,19,0.0005668043158948421,0.0004924925742670894,0.48366890483432345,0.5558883508046468
1,20,0.0005282838828861713,0.0007702930015511811,0.5180996007389492,0.2840206782023112
1,21,0.0005460294778458774,0.0005039061652496457,0.5064524522534123,0.5548212965329488
1,22,0.0005212026881054044,0.0006856821128167212,0.5287998306898423,0.38488952451282077
1,23,0.0005433643818832934,0.00047974512563087046,0.5056795361601276,0.5637091914812724
1,24,0.0004996277275495231,0.000683807535097003,0.5502145135844195,0.38010883728663125
1,25,0.0005237520090304315,0.0005190347437746823,0.5208112392896488,0.5319393343395658
1,26,0.0004886859096586704,0.000548125128261745,0.5487633696308842,0.5089105447133382
1,27,0.000504655356053263,0.0005109816556796432,0.5359555774264866,0.54365437163247
1,28,0.0004963898099958897,0.0005860115052200854,0.5474612845314873,0.4810277064641317
1,29,0.0004867247771471739,0.0005549260531552136,0.5548793090714349,0.5115615910953946
1,30,0.00047352435649372637,0.0006216522306203842,0.5661460752840395,0.4428393416934543
1,31,0.0004726038605440408,0.00048259919276461005,0.559810870812263,0.5705764452616374
1,32,0.0004291547811590135,0.0005608447827398777,0.608002957738476,0.5034212787946065
1,33,0.0004149148880969733,0.0004752269305754453,0.6159938662140457,0.5779397461149428
1,34,0.00038961676182225347,0.0004640726838260889,0.6389313690456343,0.5901945683691237
1,35,0.0003879049909301102,0.00045486772432923317,0.640743789555114,0.6067069186104669
1,36,0.00038458872586488724,0.0004458761541172862,0.6444775160448051,0.6153014911545648
1,37,0.0003763475106097758,0.000444987032096833,0.6500605151977068,0.6130865414937338
1,38,0.00037080232868902385,0.00046331112389452755,0.6522046995751651,0.5929893612861633
1,39,0.0003667849814519286,0.00043235920020379126,0.6560145307470251,0.6319937096701728
1,40,0.00037371477810665965,0.00046358752297237515,0.6465725002465424,0.5994407468371921
1,41,0.00036556203849613667,0.0004676050157286227,0.6576269040873022,0.5911305732197232
1,42,0.00035442993976175785,0.000436716596595943,0.665755577587787,0.6215847028626336
1,43,0.0003399374254513532,0.000526917283423245,0.6766813557824971,0.5259461455874973
1,44,0.0003423308953642845,0.00039824412669986486,0.67590985842693,0.6559645997153388
1,45,0.0003282580873928964,0.0004528359859250486,0.6891452063748866,0.6056317157215543
1,46,0.0003248700813855976,0.0004167286097072065,0.6903830276595222,0.6366277946366204
1,47,0.0003116707084700465,0.0004663754953071475,0.703866657504329,0.5900330331590441
1,48,0.00030956300906836987,0.0004040211788378656,0.705259547263016,0.6488497919506497
1,49,0.00030308979330584407,0.00046036974526941776,0.707494580745697,0.5984785967402988
1,50,0.0003018110292032361,0.0004260492278262973,0.7126818380238097,0.6330703616142273
1,51,0.00030534452525898814,0.00041207310277968645,0.7056912996150829,0.6403370526101854
1,52,0.0003059369628317654,0.0004665486922021955,0.7090682684639353,0.5900455792744954
1,53,0.0002688005333766341,0.00042820366797968745,0.7403498752617542,0.6289248201582167
1,54,0.00025625841226428747,0.00039804476546123624,0.7504571368664871,0.6605622106128268
1,55,0.00024573077098466456,0.00041766767390072346,0.7591301882708514,0.6392166667514377
1,56,0.00024557209690101445,0.00039564238977618515,0.7588292445665524,0.6581808593538072
1,57,0.000240735913394019,0.000399671756895259,0.7652355879913142,0.6541719290945265
1,58,0.00023094803327694535,0.00038821130874566734,0.7765717771318223,0.6638665411207411
1,59,0.00023840300855226815,0.0004128154832869768,0.7644054061100807,0.6452571776178148
1,60,0.0002341697836527601,0.0004039524937979877,0.7663586300096394,0.6538384821679857
1,61,0.00022710420307703316,0.0004306942573748529,0.7765456872221864,0.6223852144347297
1,62,0.0002204339107265696,0.0004025674716103822,0.7828353809721675,0.6498100558916727
1,63,0.0002210067759733647,0.0003848854685202241,0.780016060081529,0.6692522764205933
1,64,0.00021478046255651861,0.00041747320210561156,0.7859154236169509,0.640249498685201
1,65,0.0002206103381467983,0.000386679545044899,0.777953263712518,0.6644252830081516
1,66,0.00021822909184265882,0.0004237050306983292,0.7866449712235251,0.6280218521753947
1,67,0.00021885515889152884,0.00040791311766952276,0.7824469188113271,0.6469597511821323
1,68,0.00020821645739488304,0.0003968382952734828,0.7943476556259909,0.656234143839942
1,69,0.00021755312627647072,0.0004003021458629519,0.7851106493561356,0.6543724563386705
1,70,0.00020764612418133765,0.00039964300231076777,0.7932999855206336,0.6592102607091268
1,71,0.00019500813505146652,0.0003872708766721189,0.8041475839085049,0.6680787404378256
1,72,0.0001856877643149346,0.00039228229434229434,0.814265024220502,0.659058521853553
1,73,0.00017730666149873286,0.00040825241012498736,0.8211891375941994,0.6514273921648661
1,74,0.00018112192628905177,0.00039016775554046035,0.8184120683022488,0.6622845186127557
1,75,0.00017642976308707148,0.0003997646563220769,0.8219036274486118,0.6562968956099616
1,76,0.00017346604727208614,0.00039505516178905964,0.8234943024906112,0.6597680065366957
1,77,0.00017917921650223434,0.00040196196641772985,0.8186843340779528,0.6558027784029643
1,78,0.00017043091065715998,0.0003993287100456655,0.8277174140200203,0.6540663109885322
1,79,0.0001667132310103625,0.0003840570570901036,0.8308337739956232,0.6708770831425984
1,80,0.0001648211618885398,0.00039842448313720524,0.8332496291325416,0.6565533651245965
1,81,0.00016412851982749999,0.0003902776225004345,0.834244770768248,0.6647390762964884
1,82,0.0001653294893912971,0.00038747317739762366,0.8324643442660202,0.6656071013874478
1,83,0.0001630164188100025,0.0004079033969901502,0.8345359878775515,0.6493051568667094
2,1,0.06756114959716797,0.0009656043257564306,-101.21310405127797,0.0235969516966078
2,2,0.001042139483615756,0.0008753761067055166,-0.16600072516335382,0.0949585305319892
2,3,0.0009536133147776127,0.000936763477511704,-0.04574689614919968,0.07585150400797526
2,4,0.0008452234324067831,0.0009325371938757598,0.11821387182047338,0.1127777165836758
2,5,0.0007600509561598301,0.0007324031321331859,0.2247859564828284,0.3460162467426724
2,6,0.0006968759698793292,0.0007110981969162822,0.3218303249206072,0.3571400112575955
2,7,0.0006914556724950671,0.0005721163470298052,0.33876768365318394,0.5085712472597758
2,8,0.0006304436246864498,0.0005854151677340269,0.4057808209348608,0.512879921330346
2,9,0.0006175747839733958,0.0005966763710603118,0.42348470010875183,0.5021360966894362
2,10,0.0006081722676753998,0.0007577301585115492,0.43418863187601536,0.3487937781545851
2,11,0.0006065502529963851,0.0008450543973594904,0.43311129484647587,0.270938429567549
2,12,0.0006167716346681118,0.0005766727845184505,0.43367911842134266,0.5133009394009908
2,13,0.0005868247826583683,0.0007480081985704601,0.45211638594851083,0.35629635916815866
2,14,0.0006019902648404241,0.0005600160220637918,0.433897301002785,0.5288924853006999
2,15,0.0005556995747610927,0.0005664140335284173,0.4875849113052274,0.5338669061660767
2,16,0.0005299500771798193,0.0005295287119224668,0.5132193085588055,0.5543974717458089
2,17,0.0005367838311940432,0.0005059646791778505,0.5067342746404954,0.5910248597462971
2,18,0.0005500054685398936,0.0005220925668254495,0.49811543108504497,0.569975835747189
2,19,0.0004985069390386343,0.000618386548012495,0.5426986678147022,0.49310313993030125
2,20,0.00048756631440483034,0.000758412410505116,0.5510547877829752,0.33536307281918
2,21,0.0004918084596283734,0.0006235062610358,0.5400315384805938,0.4841443247265286
2,22,0.0004963483661413193,0.0006644193781539798,0.5402975369382788,0.4316382063759698
2,23,0.0004755576082970947,0.0004572332836687565,0.5599138268718014,0.636401441362169
2,24,0.00046266469871625304,0.0005934824584983289,0.5716440109559048,0.49590170515908133
2,25,0.00046267284778878093,0.0005012552719563246,0.5609319430810434,0.5866319868299696
2,26,0.00046029360964894295,0.0005595127586275339,0.5781294990468908,0.5462874213854472
2,27,0.00042811722960323095,0.0005317556206136942,0.6026274266066375,0.5669734530978733
2,28,0.00042628528899513185,0.0006490580271929502,0.6040946779427705,0.42510853475994537
2,29,0.0004375764401629567,0.0004881464992649853,0.5959770688304195,0.6059204313490126
2,30,0.00040397339034825563,0.0005106230964884162,0.6232801069448024,0.5948503719435798
2,31,0.00038987729931250215,0.0005631570238620043,0.6271304647127788,0.5389271179835001
2,32,0.0003595082671381533,0.0004893525037914515,0.6561264823984216,0.5953995042377048
2,33,0.0003178846091032028,0.00046989950351417065,0.6975996991734446,0.6281534499592252
2,34,0.00030607637017965317,0.0004822973860427737,0.7046464494716974,0.6045099642541674
2,35,0.00031910836696624756,0.00044402366620488465,0.69221025440428,0.6440723710589938
2,36,0.0003010040963999927,0.0004444764053914696,0.709591293187789,0.6425129042731391
2,37,0.0002811602025758475,0.0004863353678956628,0.7276236473778148,0.5923222621281942
2,38,0.0003001270815730095,0.000472311454359442,0.7100411684424789,0.6149071203337775
2,39,0.0002962189319077879,0.0004934645257890224,0.7162926032219404,0.600415809949239
2,40,0.0003087080840487033,0.00043449929216876626,0.6990879432654675,0.658487946457333
2,41,0.0002747274993453175,0.00045738613698631525,0.7284993489583333,0.6336846232414246
2,42,0.00024794353521429,0.0004381304024718702,0.7564085783781829,0.6518733143806458
2,43,0.0002415187773294747,0.00042563871829770505,0.7632943683200413,0.648781849278344
2,44,0.0002450666797813028,0.00045707423123531044,0.758242330139066,0.6274072991477119
2,45,0.0002514307270757854,0.0004746004124172032,0.754128314094779,0.6141565455330743
2,46,0.00024253001902252436,0.0004358869045972824,0.7593742907783132,0.6486806352933248
2,47,0.00025590177392587066,0.00048706537927500904,0.7489163320741535,0.5876581165525648
2,48,0.0002338586054975167,0.00041949760634452105,0.768045640874792,0.671380979484982
2,49,0.00021878082770854235,0.00041849236004054546,0.784172319482874,0.6551719162199232
2,50,0.0002476864028722048,0.0004844483337365091,0.7552136808265875,0.5822264009051853
2,51,0.0002240375615656376,0.0004514126048889011,0.7776211748888463,0.6260524604055616
2,52,0.0002132748340955004,0.0004216665693093091,0.7857699456038298,0.6632923430866665
2,53,0.0002180837036576122,0.00042244020733051,0.7799492136931714,0.662597209877438
2,54,0.00020300838514231145,0.000519256223924458,0.7928753508461847,0.5480139838324652
2,55,0.0001934572501340881,0.00040393765084445477,0.8025469197167291,0.6877060307396783
2,56,0.0001890692365122959,0.00041273923125118017,0.807631951055409,0.6716742157936096
2,57,0.0001880676718428731,0.0004476388858165592,0.8079484556928093,0.6434836732016669
2,58,0.00019018625607714057,0.00041264190804213285,0.8069536072236521,0.6704150782691107
2,59,0.0001836077426560223,0.00044921174412593246,0.8120508753223183,0.6319410602251688
2,60,0.00018170662224292755,0.0004131158348172903,0.811441378681748,0.665142646100786
2,61,0.00017527141608297825,0.00044156931107863784,0.8196142532207348,0.6384286165237427
2,62,0.00016473905998282135,0.0004333385149948299,0.8295209297427425,0.650348158677419
2,63,0.00017309156828559935,0.0003982492780778557,0.8229473733607634,0.6758067144287957
2,64,0.00016743922606110573,0.0004085521213710308,0.8273192365964254,0.6798251244756911
2,65,0.00015768945741001517,0.000474091008072719,0.8372927163854057,0.5986057718594869
2,66,0.00015294490731321275,0.00040556397289037704,0.8398783062711174,0.6781055808067322
2,67,0.0001371136459056288,0.0004386042710393667,0.855587837136822,0.6389631165398492
2,68,0.0001478614576626569,0.0003940617898479104,0.8441749240145271,0.693877555264367
2,69,0.0001415563456248492,0.0004020394408144057,0.8518652705498684,0.678401874171363
2,70,0.0001397905871272087,0.0004263847367838025,0.8517355552426091,0.6481460438834297
2,71,0.00014745848602615297,0.0004200172843411565,0.8456026434898376,0.6559040678872002
2,72,0.00017389233107678592,0.00042272015707567334,0.8141674649568251,0.6744580308596293
2,73,0.00017195897817146033,0.0003999675973318517,0.8192828870113985,0.6899380286534628
2,74,0.00014565594028681517,0.00039107631891965866,0.8453245205643737,0.6863026407029894
2,75,0.00014380199718289077,0.0004072853771504015,0.848831440931485,0.6713197429974874
2,76,0.00014185099280439317,0.00039185286732390523,0.8509292234609156,0.6932957953876919
2,77,0.00013276305980980396,0.0003899137082044035,0.8599504320709793,0.7031152380837334
2,78,0.0001226077147293836,0.00044251917279325426,0.870945218021487,0.6213325606452094
2,79,0.00012958829756826162,0.0003916547866538167,0.8588329034087099,0.6830479939778645
2,80,0.00012102790788048878,0.0003993445134256035,0.8712404055359922,0.6811983187993368
2,81,0.0001127965297200717,0.0003887857892550528,0.8795127246114943,0.6914217895931668
2,82,0.00011276643635937944,0.00038754777051508427,0.8769869262789503,0.6942785965071784
2,83,0.00011785462265834212,0.00040118154720403254,0.8733993505254204,0.677738352616628
2,84,0.00011967228056164458,0.0003998915490228683,0.8728304467083495,0.6841212603780958
2,85,0.00011956614616792649,0.0003942939802072942,0.8730960928363565,0.6856519553396437
2,86,0.00011469713354017586,0.0004239613772369921,0.8769663036605458,0.6500504003630744
2,87,0.0001224375591846183,0.0004149121232330799,0.868096677020744,0.6731788105434842
2,88,0.00011174390965607017,0.00038451081491075456,0.8802247025348522,0.6991565903027852
2,89,0.00011253503180341795,0.00039643794298171997,0.8806797395517797,0.6916053917672899
2,90,0.00011719768372131512,0.0004076798213645816,0.8760841566839336,0.6787021054161919
2,91,0.00010779402509797364,0.000395347859011963,0.8824560904208525,0.6944368640581767
2,92,0.0001020706768031232,0.00038612287607975304,0.8902148857528781,0.699676349427965
2,93,0.00010178267257288098,0.000411659391829744,0.8901269313729839,0.6788532389534845
2,94,9.841609426075593e-05,0.00039988989010453224,0.8928012875863064,0.6817340532938639
2,95,0.00010060358181362972,0.0003927350917365402,0.8914962198999193,0.6895854234695434
2,96,0.00010639645915944129,0.00037884010816924274,0.8811022677539307,0.7073436114523146
2,97,9.816116653382778e-05,0.0003855026443488896,0.8921276267663932,0.696820178296831
2,98,0.00010648592433426529,0.00038775213761255145,0.883851365984222,0.7012748572561476
2,99,9.567299275659025e-05,0.0003855432732962072,0.8972199793215151,0.696819089518653
2,100,8.934548532124609e-05,0.0003765925648622215,0.9008128484090169,0.7063300477133857
2,101,9.057782881427556e-05,0.0004124533443246037,0.9012610189708663,0.6770631048414443
2,102,9.248299465980381e-05,0.00037917893496342003,0.8992034653086721,0.7057130336761475
2,103,9.437475819140673e-05,0.0003813299990724772,0.897560813691881,0.7038535780376858
2,104,9.078847506316379e-05,0.0004176560905762017,0.9005189100901286,0.6662026829189724
2,105,8.573835657443851e-05,0.00040381652070209384,0.9061427234131613,0.6797651012738546
2,106,0.00010116367775481194,0.0004013627767562866,0.887052920129564,0.6827618651919894
2,107,8.842376701068133e-05,0.00040128763066604733,0.9033733108897268,0.6864245838589138
2,108,8.909075404517353e-05,0.00040821474976837635,0.9017444706257479,0.6736524250772264
2,109,7.75946828071028e-05,0.0003826707252301276,0.9152045495716142,0.7012895690070258
2,110,6.584283255506307e-05,0.00036991899833083153,0.9259647114777271,0.7158683723873562
2,111,6.204951932886615e-05,0.0003808232140727341,0.9300207732636252,0.7041053811709086
2,112,6.0154601669637486e-05,0.00036885603913106024,0.9318628197834815,0.7201148629188537
2,113,5.823777974001132e-05,0.00037437191349454224,0.9336197786860996,0.7142743322584364
2,114,5.9340978623367846e-05,0.00037248266744427383,0.9323069214820862,0.7121873166826036
2,115,5.771832729806192e-05,0.0003804908774327487,0.9342988836912461,0.7068229251437717
2,116,5.57250932615716e-05,0.00037280292599461973,0.9362104735256713,0.714060632387797
2,117,5.526608583750203e-05,0.0003713258483912796,0.9368505096729891,0.7167853554089864
2,118,5.429726661532186e-05,0.0003629437414929271,0.937576824353065,0.7265799164772033
2,119,5.612519453279674e-05,0.00037907520891167223,0.9361009711100732,0.7104284207026164
2,120,5.4247473599389195e-05,0.0003751786716748029,0.9382171245268833,0.717683200041453
2,121,5.094127845950425e-05,0.0003724352573044598,0.9419211773224819,0.7175775779618158
2,122,5.041494296165183e-05,0.00036700343480333686,0.9423070005428644,0.7245588951640659
2,123,5.1619783334899694e-05,0.0003630747669376433,0.9409642578643045,0.7270889560381572
2,124,5.2432005759328604e-05,0.0003666207194328308,0.939567482912982,0.7255019850201077
2,125,5.231277464190498e-05,0.00036690838169306517,0.9401743027899,0.7228947665956286
2,126,5.2233463065931574e-05,0.00036789971636608243,0.9398159943980935,0.7237281428443061
2,127,4.6803663281025365e-05,0.00036776732304133475,0.9463172104623583,0.7231056888898214
2,128,4.731757508125156e-05,0.0003688750439323485,0.9451866148430624,0.7207902365260654
2,129,4.469786654226482e-05,0.00036820274544879794,0.947811923056473,0.7220191253556145
2,130,4.4890548451803625e-05,0.00036384910345077515,0.9476809545799538,0.728258756796519
2,131,4.4785534555558115e-05,0.00037181616062298417,0.9481039894951715,0.71701217757331
2,132,4.259061097400263e-05,0.00036985514452680945,0.9505019343929526,0.7193059060308669
2,133,4.444027581484988e-05,0.00036696004099212587,0.9485309349166022,0.7241226063834296
2,134,4.298044223105535e-05,0.000367500790162012,0.9502326982992667,0.7215689500172933
2,135,4.2822633986361325e-05,0.00037132686702534556,0.9499931615075947,0.7175520658493042
2,136,4.120986704947427e-05,0.00036902911961078644,0.9518346898349714,0.7212549765904744
2,137,4.1484017856419086e-05,0.0003656659973785281,0.9515987309408777,0.7238778471946716
2,138,4.1796232835622504e-05,0.0003697723732329905,0.9518422925913775,0.7188335087564256
3,1,0.0638192743062973,0.0009039102005772293,-107.9337739204183,0.03534529738956028
3,2,0.0011197718558833003,0.0007820220198482275,-0.21515310958579734,0.14782961077160306
3,3,0.0009803602006286383,0.0011034444905817509,-0.0652147235693755,-0.1839399046368069
3,4,0.0008908677846193314,0.001027227146551013,0.06694555679957072,-0.06320096916622586
3,5,0.0007644480792805552,0.001519839628599584,0.23537485967447727,-0.5377990894847446
3,6,0.0007559682708233595,0.0005632362444885075,0.2697489168908861,0.45420494079589846
3,7,0.0006800384726375341,0.0007577358046546578,0.36817932776462886,0.2810138993793064
3,8,0.0006624925299547613,0.0007826151559129357,0.38773121348133793,0.24328357113732232
3,9,0.0006262934766709805,0.0008209571242332458,0.4326571067174276,0.2122238794962565
3,10,0.0006094162235967815,0.0008172611123882234,0.4424934643286246,0.21397637128829955
3,11,0.0005841917009092867,0.000590658513829112,0.4665562982912417,0.4583105656835768
3,12,0.0006035109981894493,0.0005705809453502297,0.44931934306650984,0.47069374057981705
3,13,0.0005842012469656765,0.0006398996338248253,0.45577075584435167,0.4041230003039042
3,14,0.0005504003493115306,0.0005458646919578314,0.5023139497380198,0.48948693805270727
3,15,0.0005358662456274033,0.0006598563631996512,0.5132511955720407,0.39491383367114596
3,16,0.0005220946623012424,0.000538499210961163,0.5367498315410849,0.502111824353536
3,17,0.0005312531720846891,0.0005043025594204664,0.5142849886858905,0.5419562975565593
3,18,0.0005172635428607464,0.0005242907791398466,0.5268027246734243,0.5185943378342522
3,19,0.000521275564096868,0.0005515808588825166,0.5304413236217734,0.497625211874644
3,20,0.0004970611771568656,0.0006348181632347405,0.5462117904498254,0.41028997898101804
3,21,0.00047424284275621176,0.0005761039210483432,0.5724613108752686,0.47330509689119127
3,22,0.0004607776354532689,0.0004574469639919698,0.5778869241843989,0.5937063468827142
3,23,0.00044394886936061084,0.0005234675481915474,0.5958401724144264,0.5172557274500529
3,24,0.00044248910853639245,0.0006545956712216139,0.5930558524014037,0.38955383830600315
3,25,0.00046204106183722615,0.0005189963849261403,0.5704129008599269,0.5207648065355089
3,26,0.00045926147140562534,0.00044477247865870595,0.5652239416852409,0.5985790001021492
3,27,0.00039362767711281776,0.000517838925588876,0.6365611435454569,0.5344783239894443
3,28,0.00037504720967262983,0.0005440306849777699,0.6509628094272849,0.5138534890280829
3,29,0.0003947828081436455,0.00048544519813731313,0.641967370039151,0.5647098845905728
3,30,0.00037056440487504005,0.00044906476978212595,0.6541012082570865,0.6094544914033678
3,31,0.0003564118524082005,0.0005068014143034816,0.6659336380016656,0.5334069887797038
3,32,0.0003482936881482601,0.000514026265591383,0.674705132437341,0.545964699321323
3,33,0.0003567386884242296,0.0004288405762054026,0.6618744981141738,0.6206822064187791
3,34,0.00032647038460709155,0.0004494124441407621,0.6878277466620928,0.5967708124054802
3,35,0.0003075663116760552,0.0004913596785627306,0.7038360473550396,0.562636747625139
3,36,0.0003047400969080627,0.0005289514665491879,0.7089284392050755,0.5083093086878459
3,37,0.000308851565932855,0.0004555124032776803,0.7033401105138991,0.5850214865472582
3,38,0.00029508027364499867,0.0004355774144642055,0.7159019536442227,0.6150930391417609
3,39,0.00028873939299955964,0.0004579968808684498,0.723055930343675,0.5794882390234205
3,40,0.0002908872556872666,0.0005790690192952752,0.7174750525274395,0.45547893312242294
3,41,0.0002879676758311689,0.0005055624060332775,0.7202537196653861,0.5220001035266453
3,42,0.00025343470042571425,0.00047102104872465134,0.7523407122235239,0.5631904774241977
3,43,0.0002209347439929843,0.0004160057578701526,0.7820481058991986,0.6247956315676372
3,44,0.00022729460033588111,0.0004717417759820819,0.7768313766997538,0.5643276625209385
3,45,0.00020796482567675412,0.00046669726725667715,0.7939369956652323,0.5700307700369093
3,46,0.000198049790924415,0.0004207766614854336,0.8032344083727142,0.6174290259679158
3,47,0.00019337423145771027,0.0004272024962119758,0.8069736788302292,0.6099593162536621
3,48,0.00018364458810538054,0.0004518433997873217,0.817444035594846,0.589176184601254
3,49,0.00018588232342153788,0.0004419739998411387,0.8138385076581696,0.5920858396424188
3,50,0.00017430030857212842,0.0004540082882158458,0.8253396256470386,0.5868201136589051
3,51,0.00017450029554311186,0.00048520739073865116,0.8241296357578701,0.5530304842525058
3,52,0.00016222879639826715,0.0004319438594393432,0.8348520393724794,0.6071764217482672
3,53,0.00015165719378273934,0.00042266110540367663,0.8445780311101748,0.6218474878205194
3,54,0.00014917620865162462,0.0004316418489906937,0.8474872484619235,0.6115140027470058
3,55,0.00014456541975960135,0.0004298264975659549,0.8517909194216317,0.6081795030170016
3,56,0.00014672926045022905,0.0004316698177717626,0.8489403736444168,0.6098918331993951
3,57,0.00013658903480973095,0.00044526997953653336,0.8599546077810688,0.594416097799937
3,58,0.00013755877444054931,0.0004235648375470191,0.8569670504993863,0.6178921010759142
3,59,0.0001355829299427569,0.00040424938197247684,0.8593992870530964,0.6420452382829455
3,60,0.00013487000251188874,0.00042340258369222283,0.8591902476769907,0.6206076992882623
3,61,0.00013474603474605829,0.0004259294655639678,0.8615616632096561,0.6199807008107503
3,62,0.0001285593316424638,0.00044931593583896756,0.8652037676469779,0.5912069704797532
3,63,0.00012182215868961066,0.0004439439799170941,0.8727397188728239,0.597451040479872
3,64,0.00012162651546532288,0.00043116864981129766,0.8730192462603251,0.6144601702690125
3,65,0.00012349434837233275,0.00043813075171783566,0.8709543762383638,0.6062588877148098
3,66,0.00012025317846564576,0.0004326760536059737,0.8728515753039607,0.6072836597760518
3,67,0.00011818742495961487,0.00044270112994126976,0.876396448082394,0.5974009076754252
3,68,0.00011166935291839764,0.0004344949556980282,0.8828318329504978,0.6069775925742256
3,69,0.00010871888662222773,0.0004153842746745795,0.884568985450415,0.6294410626093546
3,70,0.00010478058538865298,0.000428449478931725,0.8881958278608911,0.6138247397210863
3,71,0.0001056987966876477,0.0004213281790725887,0.8870781670381993,0.6232935216691758
3,72,0.0001032887666951865,0.0004408788518048823,0.8912038423396923,0.5988966213332282
3,73,0.00010525918332859874,0.0004301748122088611,0.8876789407965577,0.6122201177808974
3,74,0.00010055574239231646,0.0004348466463852674,0.8930645121468438,0.6098357955614726
3,75,0.00010246095189359039,0.0004427615203894675,0.890257602562139,0.5999090207947625
3,76,9.833120566327125e-05,0.000425702310167253,0.894968761338128,0.619514732890659
3,77,9.797554230317473e-05,0.0004396756994538009,0.8951322632071412,0.6048268503612942
3,78,9.492436947766691e-05,0.00042075946112163365,0.8976207867080783,0.6239952484766642
3,79,9.405152377439663e-05,0.0004382403567433357,0.8993428595272112,0.6054120077027215
4,1,0.10040631890296936,0.0009863991290330887,-157.5466545637743,0.009376170900132921
