Compound_ID,Simulated_Total_Area,Predicted_Total_Area,Area_Abs_Error,Area_Pct_Error
451,0.029099972918629646,0.09757646918296814,0.0684764962643385,235.31463914353066
452,0.07194775342941284,0.11771810799837112,0.04577035456895828,63.61609972139447
453,0.0073159234598279,0.053379327058792114,0.046063403598964214,629.6321148232435
454,0.014492329210042953,0.07827545702457428,0.06378312781453133,440.11647051414366
455,0.029827583581209183,0.09328210353851318,0.063454519957304,212.7377156937351
456,0.031690292060375214,0.11150062084197998,0.07981032878160477,251.84472465432938
457,0.03414031118154526,0.1016632616519928,0.06752295047044754,197.78071181421294
458,0.019512102007865906,0.08790533989667892,0.06839323788881302,350.51701688132664
459,0.03609441593289375,0.1181367039680481,0.08204228803515434,227.2991151531202
460,0.0036583077162504196,0.04887992516160011,0.04522161744534969,1236.134873085514
461,0.016847185790538788,0.07440419495105743,0.057557009160518646,341.64168351987956
462,0.025541242212057114,0.08799612522125244,0.06245488300919533,244.52562835691913
463,0.038353048264980316,0.08378437906503677,0.04543133080005646,118.45559311523937
464,0.08875694870948792,0.13694757223129272,0.04819062352180481,54.295043061404094
465,0.08725884556770325,0.1700913906097412,0.08283254504203796,94.92739045896388
466,0.0176810622215271,0.07292014360427856,0.055239081382751465,312.4194728272412
467,0.03441549837589264,0.12009228765964508,0.08567678928375244,248.9482742570635
468,0.031082915142178535,0.09633604437112808,0.06525312922894955,209.9324626743362
469,0.013406947255134583,0.07419678568840027,0.060789838433265686,453.4204340215066
470,0.02094171568751335,0.09092740714550018,0.06998569145798683,334.1927304443174
471,0.05121329426765442,0.14384067058563232,0.0926273763179779,180.86588188192383
472,0.08952562510967255,0.17358267307281494,0.0840570479631424,93.89160685576792
473,0.042357005178928375,0.11169484257698059,0.06933783739805222,163.69863049842385
474,0.03824745491147041,0.122484490275383,0.08423703536391258,220.24219796818397
475,0.02046027220785618,0.08611147850751877,0.06565120629966259,320.87161711589715
476,0.01828085631132126,0.07949195802211761,0.061211101710796356,334.8371688304808
477,0.0757017508149147,0.17042136192321777,0.09471961110830307,125.12208778352519
478,0.019512411206960678,0.08881522715091705,0.06930281594395638,355.1729984002896
479,0.0036630979739129543,0.04876282811164856,0.045099730137735605,1231.1909334371328
480,0.018293816596269608,0.07823848724365234,0.059944670647382736,327.67722542712266
481,0.03778480738401413,0.1226988434791565,0.08491403609514236,224.73063110298534
482,0.023151421919465065,0.0894869863986969,0.06633556447923183,286.5291156197139
483,0.013150905258953571,0.07016567885875702,0.05701477359980345,433.54257731410473
484,0.04603026807308197,0.13467854261398315,0.08864827454090118,192.58691780841875
485,0.04047269746661186,0.11032140254974365,0.06984870508313179,172.58228251466016
486,0.061842307448387146,0.10910160839557648,0.04725930094718933,76.41904530588769
487,0.00974219013005495,0.07329490780830383,0.06355271767824888,652.345282014019
488,0.02434239163994789,0.09225568920373917,0.06791329756379128,278.9918861232185
489,0.010965700261294842,0.056285105645656586,0.045319405384361744,413.2832769861829
490,0.03457849472761154,0.1137033998966217,0.07912490516901016,228.82692202858536
491,0.018647518008947372,0.07962306588888168,0.06097554787993431,326.9901541356726
492,0.05001461133360863,0.11019019782543182,0.060175586491823196,120.31601343543107
493,0.024575363844633102,0.08481748402118683,0.060242120176553726,245.13215982236503
494,0.02674310840666294,0.0888817310333252,0.062138622626662254,232.35377758548316
495,0.014635259285569191,0.06782599538564682,0.05319073610007763,363.4423897943872
496,0.06789883971214294,0.16309170424938202,0.09519286453723907,140.1980725161271
497,0.023042310029268265,0.09211304783821106,0.0690707378089428,299.75613435115395
498,0.02012144960463047,0.0736277773976326,0.05350632779300213,265.9168640647487
499,0.008522924967110157,0.07288045436143875,0.0643575293943286,755.1108292362466
500,0.014621690846979618,0.07205379009246826,0.057432099245488644,392.7869891829392
501,0.017068907618522644,0.06887324154376984,0.05180433392524719,303.50116763787946
502,0.026828326284885406,0.09928913414478302,0.07246080785989761,270.09067614001964
