Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,93,5,2,0,0
Doublet,43,29,6,0,1
Triplet,21,15,20,1,0
Quartet,33,8,5,2,0
Multiplet,25,11,10,2,2
