Metric,Value
Overall_Multiplicity_Accuracy_pct,43.712574850299404
Total_Matched_Resonances,334.0
Total_Missed_Resonances_FN,115.0
Total_Spurious_Resonances_FP,40.0
Singlet_Recall_pct,93.0
Singlet_Precision_pct,43.25581395348837
Doublet_Recall_pct,36.70886075949367
Doublet_Precision_pct,42.64705882352941
Triplet_Recall_pct,35.08771929824562
Triplet_Precision_pct,46.51162790697674
Quartet_Recall_pct,4.166666666666667
Quartet_Precision_pct,40.0
Multiplet_Recall_pct,4.0
Multiplet_Precision_pct,66.66666666666667
