Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,12,12,0.0006099999999999994,60.0
451,0.02,20,12,12,0.0006099999999999994,60.0
451,0.05,20,12,12,0.0006099999999999994,60.0
452,0.01,86,10,9,0.0029855555555554757,10.465116279069768
452,0.02,86,10,9,0.0029855555555554757,10.465116279069768
452,0.05,86,10,10,0.007569999999999921,11.627906976744185
453,0.01,2,2,2,0.0,100.0
453,0.02,2,2,2,0.0,100.0
453,0.05,2,2,2,0.0,100.0
454,0.01,9,4,4,0.0006102499999999789,44.44444444444444
454,0.02,9,4,4,0.0006102499999999789,44.44444444444444
454,0.05,9,4,4,0.0006102499999999789,44.44444444444444
455,0.01,22,12,9,0.0008144444444444016,40.90909090909091
455,0.02,22,12,11,0.0037736363636363375,50.0
455,0.05,22,12,11,0.0037736363636363375,50.0
456,0.01,58,13,12,0.0020341666666666334,20.689655172413794
456,0.02,58,13,13,0.0028161538461538146,22.413793103448278
456,0.05,58,13,13,0.0028161538461538146,22.413793103448278
457,0.01,34,20,20,0.0028075000000000296,58.8235294117647
457,0.02,34,20,20,0.0028075000000000296,58.8235294117647
457,0.05,34,20,20,0.0028075000000000296,58.8235294117647
458,0.01,30,10,10,0.0012219999999999232,33.333333333333336
458,0.02,30,10,10,0.0012219999999999232,33.333333333333336
458,0.05,30,10,10,0.0012219999999999232,33.333333333333336
459,0.01,43,14,14,0.002267142857142896,32.55813953488372
459,0.02,43,14,14,0.002267142857142896,32.55813953488372
459,0.05,43,14,14,0.002267142857142896,32.55813953488372
460,0.01,1,1,1,0.0,100.0
460,0.02,1,1,1,0.0,100.0
460,0.05,1,1,1,0.0,100.0
461,0.01,18,4,4,0.0,22.22222222222222
461,0.02,18,4,4,0.0,22.22222222222222
461,0.05,18,4,4,0.0,22.22222222222222
462,0.01,27,11,10,0.0024399999999999977,37.03703703703704
462,0.02,27,11,11,0.0033272727272727243,40.74074074074074
462,0.05,27,11,11,0.0033272727272727243,40.74074074074074
463,0.01,39,8,8,0.002134999999999998,20.512820512820515
463,0.02,39,8,8,0.002134999999999998,20.512820512820515
463,0.05,39,8,8,0.002134999999999998,20.512820512820515
464,0.01,37,18,14,0.0029657142857142543,37.83783783783784
464,0.02,37,18,16,0.0047312499999999785,43.24324324324324
464,0.05,37,18,18,0.007189444444444409,48.648648648648646
465,0.01,97,20,18,0.003254944444444426,18.556701030927837
465,0.02,97,20,19,0.004111526315789435,19.587628865979383
465,0.05,97,20,19,0.004111526315789435,19.587628865979383
