Fold,Epoch,Train_MSE,Val_MSE,Train_R2,Val_R2,Train_AuxAcc,Val_AuxAcc
1,1,0.062024135142564774,0.0266120582818985,-90.26640673743354,-37.22533912658692,0.45228768807870373,0.9942165798611111
1,2,0.019681353121995926,0.01354934647679329,-29.328374537715206,-18.23836268319024,0.9939591772762346,0.9927734375
1,3,0.010519059374928474,0.007745732553303242,-15.241344060426878,-9.899234331978692,0.9920681423611111,0.992822265625
1,4,0.0066138505935668945,0.005283876322209835,-8.844139570954406,-6.274367554982503,0.9911910445601851,0.992138671875
1,5,0.004760161507874727,0.004303338471800089,-5.947016052257868,-4.655121554268731,0.9904248649691358,0.9872504340277778
1,6,0.003705939743667841,0.0034424681216478348,-4.23744536123158,-3.4173721578386096,0.9889232494212963,0.9876139322916667
1,7,0.003041645744815469,0.003084435360506177,-3.2064303783722865,-2.864476884735955,0.9875307436342593,0.9860026041666666
1,8,0.0025750575587153435,0.002365776803344488,-2.5145341396331786,-2.0038487142986723,0.9862823109567901,0.9785807291666667
1,9,0.002182395663112402,0.00194410583935678,-1.9370092612725718,-1.4472444984647963,0.9840295862268519,0.9876302083333334
1,10,0.0019341061124578118,0.0018882391741499305,-1.5480675270527968,-1.3299542480044895,0.9845648871527778,0.9796820746527778
1,11,0.0017141387797892094,0.0017448004800826311,-1.228444751398063,-1.0845817698372735,0.9826238184799383,0.9836046006944444
1,12,0.0015680051874369383,0.001397444517351687,-0.9896399105036701,-0.680517644352383,0.9825587143132716,0.985986328125
1,13,0.00140606879722327,0.00141820777207613,-0.7610862009319258,-0.6781683444976807,0.9819769965277778,0.9841905381944445
1,14,0.0013671263586729765,0.0012397202663123608,-0.6835266654874071,-0.46579022539986503,0.9815164448302469,0.9793348524305555
1,15,0.0012571666156873107,0.001166492816992104,-0.524132913277473,-0.3516644146707323,0.9812475887345679,0.9844563802083334
1,16,0.0011709589743986726,0.0013091391883790493,-0.4045151083557694,-0.47635720173517865,0.9812596450617284,0.9821072048611111
1,17,0.0011109616607427597,0.0013204016722738743,-0.31106673758706926,-0.45538864135742185,0.9813500675154321,0.9782497829861111
1,18,0.0010493774898350239,0.0011681256582960486,-0.23366702986352236,-0.29335945712195505,0.9802692177854938,0.9804524739583333
1,19,0.0010467333486303687,0.000873696873895824,-0.21722469712481088,0.01367188294728597,0.9795699508101852,0.9914984809027778
1,20,0.0010051545687019825,0.0008658841252326965,-0.16134966641296575,0.04441352950202094,0.9810667438271605,0.9800672743055555
1,21,0.000932196038775146,0.0009734832565300167,-0.06737183935848283,-0.056225346194373235,0.9800305025077161,0.9824924045138889
1,22,0.0009105961071327329,0.0008623800240457058,-0.03164850267363183,0.06899799903233846,0.9807442370756173,0.9824815538194445
1,23,0.0008688740199431777,0.001055790577083826,0.021862710699623013,-0.11891887452867296,0.9803156346450618,0.9796495225694445
1,24,0.0008781796786934137,0.0008553512743674219,0.01623887942161089,0.10020950767729017,0.9801902488425925,0.9841959635416667
1,25,0.0008179277065210044,0.000798618420958519,0.10252205619105587,0.14713473320007325,0.9803481867283951,0.9842339409722223
1,26,0.0008074282668530941,0.0008855842752382159,0.11459618026827588,0.08562298483318753,0.980076316550926,0.9819173177083333
1,27,0.0008148281485773623,0.0008044666610658169,0.11590379432395652,0.157704053984748,0.9793276186342592,0.9796766493055555
1,28,0.0007800512248650193,0.00083955965237692,0.14745316314108578,0.12764913505978054,0.9801619164737654,0.9741861979166667
1,29,0.0007624570280313492,0.0008595685358159244,0.16765835991612188,0.11434352265463935,0.9797248746141975,0.9818413628472222
1,30,0.0007183360285125673,0.0007834337884560227,0.23032856384913128,0.18205264541837904,0.9801167052469136,0.9780544704861112
1,31,0.0006960839964449406,0.0008527737227268517,0.2574566995656049,0.137304867638482,0.9797037760416667,0.9844401041666667
1,32,0.0007256277604028583,0.0006573036080226302,0.22749613920847575,0.3309503224160936,0.979759837962963,0.986865234375
1,33,0.0007113511674106121,0.0007862003985792398,0.23566612785245167,0.21832515133751762,0.9802059220679012,0.981884765625
1,34,0.0006647338741458952,0.0007571778260171413,0.2936541124626442,0.23905518452326457,0.980003978587963,0.9833224826388889
1,35,0.0006373428041115403,0.0006734817288815975,0.3320040150924965,0.32289707528220285,0.980198688271605,0.9854112413194445
1,36,0.0006301015964709222,0.0005536354146897793,0.33948495903132875,0.4411300725407071,0.980201099537037,0.9854058159722222
1,37,0.0006283732946030796,0.0006710574962198734,0.33923972609602376,0.3315943770938449,0.9801739728009259,0.98212890625
1,38,0.0006082188338041306,0.0006528238300234079,0.3611740724540051,0.34857762257258096,0.9800395447530864,0.9839518229166667
