Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,97,4,1,1,1
Doublet,49,27,2,0,0
Triplet,31,13,15,0,1
Quartet,38,10,1,1,0
Multiplet,35,9,6,2,2
