Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,95,5,1,1,0
Doublet,42,34,2,0,2
Triplet,22,17,18,2,0
Quartet,36,9,5,0,1
Multiplet,35,12,5,2,2
