Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,26,6,1,0,1
Doublet,7,11,1,1,1
Triplet,13,3,3,1,0
Quartet,6,2,1,1,1
Multiplet,6,1,1,0,5
