Compound_ID,Tolerance_ppm,N_Simulated_Peaks,N_Predicted_Peaks,N_Matched,Mean_Position_Error_ppm,Match_Accuracy_pct
451,0.01,20,0,0,,0.0
451,0.02,20,0,0,,0.0
451,0.05,20,0,0,,0.0
452,0.01,86,8,6,0.0016269999999999896,6.976744186046512
452,0.02,86,8,6,0.0016269999999999896,6.976744186046512
452,0.05,86,8,8,0.007934124999999986,9.30232558139535
453,0.01,2,6,1,0.007330000000000503,50.0
453,0.02,2,6,2,0.0097700000000005,100.0
453,0.05,2,6,2,0.0097700000000005,100.0
454,0.01,9,8,2,0.0,22.22222222222222
454,0.02,9,8,2,0.0,22.22222222222222
454,0.05,9,8,2,0.0,22.22222222222222
455,0.01,22,3,2,0.0,9.090909090909092
455,0.02,22,3,2,0.0,9.090909090909092
455,0.05,22,3,3,0.01546333333333331,13.636363636363637
456,0.01,58,11,2,0.0048799999999999955,3.4482758620689653
456,0.02,58,11,3,0.007319999999999993,5.172413793103448
456,0.05,58,11,7,0.02406285714285707,12.068965517241379
457,0.01,34,0,0,,0.0
457,0.02,34,0,0,,0.0
457,0.05,34,0,0,,0.0
458,0.01,30,0,0,,0.0
458,0.02,30,0,0,,0.0
458,0.05,30,0,0,,0.0
459,0.01,43,7,2,0.0,4.651162790697675
459,0.02,43,7,2,0.0,4.651162790697675
459,0.05,43,7,3,0.013020000000000032,6.976744186046512
460,0.01,1,3,1,0.007329999999999615,100.0
460,0.02,1,3,1,0.007329999999999615,100.0
460,0.05,1,3,1,0.007329999999999615,100.0
461,0.01,18,4,3,0.0008133333333333326,16.666666666666668
461,0.02,18,4,4,0.005494999999999972,22.22222222222222
461,0.05,18,4,4,0.005494999999999972,22.22222222222222
462,0.01,27,11,1,0.007319999999999993,3.7037037037037037
462,0.02,27,11,3,0.012203333333333491,11.11111111111111
462,0.05,27,11,6,0.01912333333333338,22.22222222222222
463,0.01,39,3,2,0.0012249999999998096,5.128205128205129
463,0.02,39,3,2,0.0012249999999998096,5.128205128205129
463,0.05,39,3,2,0.0012249999999998096,5.128205128205129
464,0.01,37,0,0,,0.0
464,0.02,37,0,0,,0.0
464,0.05,37,0,0,,0.0
465,0.01,97,56,47,0.0016099148936170261,48.45360824742268
465,0.02,97,56,49,0.002092306122448985,50.51546391752577
465,0.05,97,56,50,0.002734060000000007,51.54639175257732
466,0.01,14,1,1,0.002449999999999619,7.142857142857143
466,0.02,14,1,1,0.002449999999999619,7.142857142857143
466,0.05,14,1,1,0.002449999999999619,7.142857142857143
467,0.01,39,9,5,0.00048799999999999956,12.820512820512821
467,0.02,39,9,6,0.003255000000000008,15.384615384615385
467,0.05,39,9,8,0.011597499999999983,20.512820512820515
468,0.01,32,0,0,,0.0
468,0.02,32,0,0,,0.0
468,0.05,32,0,0,,0.0
469,0.01,11,2,2,0.0024399999999999977,18.181818181818183
469,0.02,11,2,2,0.0024399999999999977,18.181818181818183
469,0.05,11,2,2,0.0024399999999999977,18.181818181818183
470,0.01,16,0,0,,0.0
470,0.02,16,0,0,,0.0
470,0.05,16,0,0,,0.0
471,0.01,71,5,1,0.0048800000000002175,1.408450704225352
471,0.02,71,5,2,0.012205500000000091,2.816901408450704
471,0.05,71,5,5,0.021483800000000032,7.042253521126761
472,0.01,89,11,1,0.007323999999999997,1.1235955056179776
472,0.02,89,11,1,0.007323999999999997,1.1235955056179776
472,0.05,89,11,2,0.015869000000000022,2.247191011235955
473,0.01,24,15,13,0.0020663076923076963,54.166666666666664
473,0.02,24,15,14,0.0027908571428571505,58.333333333333336
473,0.05,24,15,14,0.0027908571428571505,58.333333333333336
474,0.01,41,13,13,0.0013153846153846243,31.70731707317073
474,0.02,41,13,13,0.0013153846153846243,31.70731707317073
474,0.05,41,13,13,0.0013153846153846243,31.70731707317073
475,0.01,7,10,2,0.0012199999999999989,28.571428571428573
475,0.02,7,10,2,0.0012199999999999989,28.571428571428573
475,0.05,7,10,4,0.01831000000000005,57.142857142857146
476,0.01,16,2,2,0.004885000000000028,12.5
476,0.02,16,2,2,0.004885000000000028,12.5
476,0.05,16,2,2,0.004885000000000028,12.5
477,0.01,92,9,5,0.0029279999999999974,5.434782608695652
477,0.02,92,9,5,0.0029279999999999974,5.434782608695652
477,0.05,92,9,6,0.009764333333333338,6.521739130434782
478,0.01,32,0,0,,0.0
478,0.02,32,0,0,,0.0
478,0.05,32,0,0,,0.0
479,0.01,1,3,1,0.004889999999999617,100.0
479,0.02,1,3,1,0.004889999999999617,100.0
479,0.05,1,3,1,0.004889999999999617,100.0
480,0.01,19,0,0,,0.0
480,0.02,19,0,0,,0.0
480,0.05,19,0,0,,0.0
481,0.01,45,8,1,0.004889999999999839,2.2222222222222223
481,0.02,45,8,1,0.004889999999999839,2.2222222222222223
481,0.05,45,8,1,0.004889999999999839,2.2222222222222223
482,0.01,14,2,1,0.0048799999999999955,7.142857142857143
482,0.02,14,2,1,0.0048799999999999955,7.142857142857143
482,0.05,14,2,2,0.019530000000000047,14.285714285714286
483,0.01,8,4,2,0.0,25.0
483,0.02,8,4,2,0.0,25.0
483,0.05,8,4,2,0.0,25.0
484,0.01,42,17,9,0.002440777777777773,21.428571428571427
484,0.02,42,17,11,0.0051042727272727325,26.19047619047619
484,0.05,42,17,13,0.009952076923076937,30.952380952380953
485,0.01,23,16,10,0.0,43.47826086956522
485,0.02,23,16,11,0.0017754545454545497,47.82608695652174
485,0.05,23,16,12,0.004069166666666679,52.17391304347826
486,0.01,20,2,0,,0.0
