Tolerance_ppm,Total_Simulated_Peaks,Total_Matched,Pooled_Match_Accuracy_pct,Mean_Of_Compound_Match_Accuracy_pct,Pooled_Mean_Position_Error_ppm
0.01,1473,590,40.05431093007468,50.55357252275444,0.0043989474576271136
0.02,1473,824,55.940257976917856,70.04839381395932,0.007570446601941759
0.05,1473,1114,75.62797012898847,89.12084972288281,0.013934262118491933
