Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,36,19,17,14,29
Doublet,25,15,11,8,21
Triplet,6,10,10,12,26
Quartet,15,8,10,10,17
Multiplet,12,19,7,8,19
