Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,29,5,4,2,1
Doublet,8,13,3,1,1
Triplet,6,4,6,0,2
Quartet,5,1,2,1,2
Multiplet,11,4,3,2,2
