Fold,Epoch,Train_Loss,Val_Loss,Train_R2,Val_R2
1,1,0.10745603941656925,0.01151052587148216,-113.54528162449967,-17.75469209882948
1,2,0.02442217901992945,0.0027727054638995064,-20.82783571054906,-3.260651191075643
1,3,0.015751618004323523,0.0015580514368290703,-12.096349357675622,-1.2437287092208862
1,4,0.012671041937062033,0.001109135732986033,-9.277721682889961,-0.4998848597208659
1,5,0.010966598865702564,0.0009888354844103256,-7.812577134297218,-0.30319015449947784
1,6,0.011310801581468112,0.0029582119909011655,-10.085304245831054,-3.5611717277103
1,7,0.0098867570820414,0.0014749036274022526,-7.499424831661178,-1.106635652648078
1,8,0.007616855553638788,0.0010343046858906745,-5.361737449669544,-0.37790001498328313
1,9,0.006484463119902361,0.0009715640322408742,-4.413824928542714,-0.2710520558887058
1,10,0.0058891021600568,0.0010630640434101224,-4.000016333438732,-0.42758544815911187
1,11,0.005039914572082552,0.0009946823482298189,-3.2463096224231482,-0.3133618434270223
1,12,0.004227450572207202,0.0009836339702208837,-2.601270083144859,-0.2949681202570597
1,13,0.0033896344478161616,0.000983574699300031,-1.9198909259136812,-0.2927249431610107
1,14,0.0026342870926277504,0.0009530187364564174,-1.3259231976520869,-0.24271428849962023
1,15,0.0020922591812034814,0.0009061455260962248,-0.9321837534139186,-0.16471326086256238
1,16,0.001755118013911501,0.0008718206404915287,-0.6517105803077603,-0.1067523929807875
1,17,0.001530999733985942,0.0008555477381580406,-0.462790823277132,-0.07818367216322157
1,18,0.0013771333013097814,0.0008523572249234551,-0.3387391484813926,-0.07343636883629692
1,19,0.0012724365998795372,0.0008516879299552076,-0.26670004615077264,-0.07260313563876682
1,20,0.0012192653500716444,0.0008401733331589236,-0.2217102274482633,-0.053848054673936635
1,21,0.0011763589264089127,0.0008410188589348561,-0.18869478437635634,-0.05463431411319309
1,22,0.0011431880229164236,0.0008352183775665859,-0.16092753498642534,-0.04575698905520969
1,23,0.00111975489690164,0.0008319123389406337,-0.14115171138151192,-0.03819926844702826
1,24,0.0010990029961204179,0.000833139321508093,-0.12333833935820027,-0.04180175463358561
1,25,0.001086785421235326,0.0008344126089165608,-0.11374843326615698,-0.04544413619571262
1,26,0.0010742690700198305,0.0008304565472321378,-0.10327653031290314,-0.03740418487124973
1,27,0.001063602875607709,0.0008291754198984968,-0.09132538783697434,-0.035260293218824595
1,28,0.0010586482191021428,0.0008290691236551437,-0.08588218159145779,-0.033972236845228404
1,29,0.0010479293792382068,0.0008310606961862908,-0.08422285862910894,-0.03898238341013591
1,30,0.0010418428141152325,0.0008286401978693902,-0.07357465337823939,-0.03451474242740207
1,31,0.001036597563551716,0.0008296936905632416,-0.0707960025763806,-0.036902483304341635
1,32,0.0010303732627186418,0.0008290473436419335,-0.06770421899395225,-0.03546060456169976
1,33,0.0010257789589188718,0.0008266106739433276,-0.061448504012308,-0.03148819340599908
1,34,0.0010237413390976502,0.0008255827913267745,-0.06056606975602515,-0.027889906035529242
1,35,0.0010217374952418018,0.0008269279457939168,-0.05997389834604146,-0.03147010538313124
1,36,0.001020334155390752,0.0008306868400217758,-0.05836340218414495,-0.03885023064083523
1,37,0.001016058295643256,0.0008274936026686596,-0.05438520231364686,-0.032982158660888675
1,38,0.0010129889875742388,0.0008272294899345273,-0.052249784234129355,-0.03101210329267714
1,39,0.0010104634152311419,0.0008291741652000281,-0.05262419647640652,-0.03488914966583252
1,40,0.0010096495143241352,0.0008260969201930695,-0.048924403573259896,-0.02874379422929552
1,41,0.001007960231422826,0.0008282698496865729,-0.04726300224845792,-0.034900066587660046
1,42,0.0010084459141333714,0.0008272445139785608,-0.046364804256109546,-0.031837333573235406
1,43,0.0010042464955606395,0.0008300925656739208,-0.04389237813007684,-0.037781204117669
1,44,0.0010031748801630773,0.0008251395981965793,-0.0453530392529052,-0.02900980313618978
1,45,0.0010055862048088953,0.0008285985936203764,-0.04326654496016326,-0.03373022609286838
1,46,0.001002073831235369,0.0008279503775864012,-0.04198797072893307,-0.032139839066399466
1,47,0.001002575729450464,0.0008267405598113934,-0.0458715190122157,-0.031032654974195693
1,48,0.0010015696097441294,0.0008270762123477955,-0.041961934684235376,-0.031601887279086645
1,49,0.0010000886516300616,0.0008248732632233037,-0.041325980351295,-0.027997708320617674
1,50,0.000998934864549449,0.0008234895390665366,-0.03943983404724686,-0.025845148828294542
1,51,0.0009961203410416657,0.0008268320441452993,-0.03842763665281696,-0.03132487667931451
1,52,0.0009973878926241104,0.0008256971111728085,-0.03884124991334515,-0.02814395957522922
1,53,0.0009960221999071907,0.0008266208085438443,-0.03699796170364192,-0.029767163594563804
1,54,0.0009955363098049052,0.0008287212824345463,-0.03565470819120054,-0.03378936449686686
1,55,0.000995746402092922,0.0008244804753404525,-0.03853407951048863,-0.026449224683973524
1,56,0.0009935927387602903,0.0008267284086388018,-0.03595087807855488,-0.03141853544447157
1,57,0.0009956922193839685,0.0008284366430921687,-0.03854970402187771,-0.03275426493750678
