Fold,Epoch,Train_MSE,Val_MSE,Train_R2,Val_R2
1,1,0.14171163737773895,0.025438442826271057,-230.5985206203696,-34.44152512020535
1,2,0.005883995909243822,0.004589110612869263,-7.841411984702687,-5.190900500615438
1,3,0.0024551525712013245,0.001955599058419466,-2.3841635331695463,-1.512327986293369
1,4,0.0018063802272081375,0.0019160653464496136,-1.3884871387187345,-1.282874462339613
1,5,0.001534852315671742,0.0015747597208246589,-0.917903565035926,-0.8794696860843234
1,6,0.001297681126743555,0.0011270832037553191,-0.5866614980462157,-0.2784713798099094
1,7,0.001318680471740663,0.0011430206941440701,-0.5835130442807703,-0.30117711226145427
1,8,0.0011569105554372072,0.0012729893205687404,-0.3517662765067301,-0.37157363096872964
1,9,0.001035523833706975,0.0009721872629597783,-0.16373052346853562,-0.02343411445617676
1,10,0.0009453981183469296,0.0011063956189900637,-0.031273863197844705,-0.14335957633124458
1,11,0.0009339794632978737,0.0008162865415215492,-0.012430336740281846,0.14361726575427586
1,12,0.0008554194355383515,0.0007753181271255016,0.10217592701499845,0.19807299375534057
1,13,0.0008596775005571544,0.001109990058466792,0.0884316122090375,-0.10584275854958428
1,14,0.0008369627175852656,0.0006366684101521969,0.12919597404974478,0.3750513712565104
1,15,0.0007906169630587101,0.0007357000722549856,0.19801742530163424,0.23637222448984782
1,16,0.0007686574826948345,0.0007645361474715173,0.21589050366554732,0.25261859628889294
1,17,0.0007408269448205829,0.0007832965347915888,0.25254217827761616,0.24239754014545017
1,18,0.000726499012671411,0.0007171010365709662,0.2668902204360491,0.3030191010899014
1,19,0.0007378039881587029,0.0010539476061239839,0.2631217188305325,0.014733457565307617
1,20,0.0007567822467535734,0.0008762732613831758,0.26575498786973367,0.1742433296309577
1,21,0.0007028108229860663,0.0007439362816512585,0.3057463576764236,0.27913297282324895
1,22,0.0006626246031373739,0.001167694223113358,0.35468884765365977,-0.10962198045518663
1,23,0.0006857686676084995,0.0005849286098964512,0.3456108684893008,0.42782906426323786
