Simulated_Multiplicity,Singlet,Doublet,Triplet,Quartet,Multiplet
Singlet,45,20,9,6,4
Doublet,10,7,6,4,16
Triplet,7,9,6,3,11
Quartet,8,3,4,1,9
Multiplet,8,8,3,6,10
